Account Owner,Account Status,Account Name,Account ID,Website,Net Premiums Written,Assets Under Management,Annual Revenue,Number of Open Opportunities,#Employee,ICP Type,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Phone,Billing Country,Last Activity,Account Plan URL,Type,Subcategory,Reason for Outreach,Industry
John,Cold Account,American European Insurance Group,0011S000013CLt5,https://www.aeiginsurance.com/,,,,0,,Secondary,,,,,,United States,10/19/2020,,,,Insurance_test01_3_11_2020,
John,Cold Account,Atlas Financial Holdings,0011S00000jD3IY,https://www.atlas-fin.com/,,,,0,,Secondary,,,,,,United States,10/19/2020,,,,,
Gary,Cold Account,California Casualty Management Company,0013700000ATCEL,http://www.calcas.com/,,,,0,,Secondary,1900 Alameda De Las Pulgas,San Mateo,California,94403,,United States,3/31/2016,,,,,
Gary,Cold Account,Colonial Penn Life Insurance,0013700000AUO6U,http://www.colonialpenn.com/,,,,0,,Secondary,399 Market Street,Philadelphia,Pennsylvania,19181,,United States,3/20/2020,,,,,
Gary,Cold Account,Columbus Life Insurance Company,0013700000ATCEa,http://www.columbuslife.com/,,,,0,,Secondary,400 East Fourth Street P.O. Box 5737,Cincinnati,Ohio,45201,,United States,8/25/2016,,,,,
Gary,Cold Account,Combined Insurance,0013700000AUO6V,http://www.combinedinsurance.com/,,,,0,,Secondary,1000 N. Milwaukee Ave.,Glenview,Illinois,60025,,United States,11.08.2017,,,,,
Gary,Cold Account,CSAA Insurance Group,0011S00000eHehm,https://csaa-insurance.aaa.com,3763559000,,,0,,Primary,3055 Oak Road,Walnut Creek,California,94597,(925) 279-2300,United States,10/19/2020,,,,,
Gary,Cold Account,Direct General Insurance,0013700000ATCES,http://www.directgeneral.com/,,,,0,,Secondary,1281 Murfreesboro Road,Nashville,Tennessee,37217,,United States,3/31/2016,,,,,
Gary,Cold Account,Electric Insurance Company,0013700000ATCEN,http://www.electricinsurance.com/,,,,0,,Secondary,75 Sam Fonzo Drive,Beverly,Massachusetts,1915,,United States,04.01.2016,,,,,
Gary,Cold Account,Encompass Insurance,0013700000ATCEI,www.encompassinsurance.com,,,222000000,0,,Secondary,3100 Sanders Road Suite K4,Northbrook,Illinois,60062,(800) 588-7400,United States,07.05.2019,,,,,
Gary,Cold Account,Erie Insurance Group,00137000006VWte,https://www.erieinsurance.com/,6629010000,,,0,,Primary,100 Erie Insurance Place,Erie,Pennsylvania,16530,(800) 458-0811,United States,11.07.2019,https://finance.yahoo.com/quote/ERIE/,,,,
Gary,Cold Account,Esurance,0013700000BCJJe,https://www.esurance.com/,,,50000000,0,,Secondary,650 Davis Street,San Francisco,California,94111,(415) 875-4500,United States,11/27/2017,,,,,
Gary,Cold Account,Family Heritage Life Insurance Company of America,0013700000ATCEf,http://www.familyheritagelife.com/,,,,0,,Secondary,6001 East Royalton Rd Suite 200,Cleveland,Ohio,44147,,United States,3/31/2016,,,,,
Gary,Cold Account,First American Mortgage Solutions,0013700000ARuQg,http://www.firstam.com/,,,,0,,Secondary,633 Third Avenue 16Th Floor,New York,New York,10017,,United States,3/28/2016,,,,,
Gary,Cold Account,Forethought Financial Group,0013700000AUO6N,http://www.forethought.com/,,,,0,,Secondary,300 North Meridian Street Suite 1800,Indianapolis,Indiana,46204,,United States,3/31/2016,,,,,
Gary,Cold Account,Friends Provident,00137000009pYJg,http://www.friendsprovident.co.uk/,,,,0,,Tertiary,Castle Street Salisbury,Wiltshire,,,,United Kingdom,,,,,Non-USA ,
Gary,Cold Account,Gerber Life,0013700000ATCEX,http://www.gerberlife.com/,,,,0,,Secondary,1311 Mamaroneck Avenue,White Plains,New York,10605,,United States,,,,,,
Gary,Cold Account,Grange Mutual Casualty Pool,0013700000ATCEH,http://www.grangeinsurance.com/,1177512000,,,0,,Primary,671 South High Street,Columbus,Ohio,43206,,United States,6/13/2019,https://www.bloomberg.com/profile/company/11372Z:US,,,,
John,Cold Account,Bear River Mutual,0011S000013CMrO,https://www.bearrivermutual.com/,,,,0,,Secondary,,,,,,United States,10/19/2020,,,,,
Gary,Cold Account,Horace Mann Educators Coporation,0013700000AUO6M,http://www.horacemann.com/,659780000,,,0,,Primary,1 Horace Mann Plz,Springfield,Illinois,62715,,United States,5/30/2019,https://finance.yahoo.com/quote/hmn?ltr=1,,,,
Gary,Cold Account,Humana,0013700000ARuQq,http://www.humana.com/,,,,0,,Secondary,500 W. Main St,Louisville,Kentucky,40202,,United States,4/20/2020,,,,,
John,Cold Account,Berkley,0011S000013CN7H,https://www.berkley.com/,,,,0,,Secondary,,,,,,United States,10/19/2020,,,,,
Gary,Cold Account,Infinity Property and Casualty Corporation,0013700000ATCEO,http://www.infinityauto.com/,1386853000,,,0,,Primary,3700 Colonnade Parkway,Birmingham,Alabama,35243,,United States,3/17/2020,https://www.bloomberg.com/profile/company/IPCC:US,,,,
Gary,Cold Account,Kemper Corporation,0013700000ATCEV,http://www.kemper.com/,1863914000,,,0,,Primary,One East Wacker Drive,Chicago,Illinois,60601,,United States,10/25/2019,https://finance.yahoo.com/quote/KMPR/,,,,
John,Cold Account,Canal Insurance,0011S000013CMwn,https://canalinsurance.com/,,,,0,,Secondary,,,,,,United States,,,,,,
Gary,Cold Account,Midland National Life Insurance Company,0013700000ATCEo,http://www.mnlife.com/,,,,0,,Secondary,One Sammons Plaza,Sioux Falls,South Dakota,57193,,United States,04.01.2016,,,,,
Gary,Cold Account,Minnesota Life,0013700000AUO6K,http://www.minnesotalife.com/,,,,0,,Secondary,400 Robert Street Nrth,St. Paul,Minnesota,55101,,United States,3/31/2016,,,,,
Gary,Cold Account,Modern Woodmen of America,0013700000ATCEn,http://www.modern-woodmen.org/,,,,0,,Secondary,1701 1St Avenue PO Box 2005,Rock Island,Illinois,61204,,United States,3/31/2016,,,,,
Gary,Cold Account,National Western Life,0013700000AUO6Q,http://www.nationalwesternlife.com/,,,,0,,Secondary,850 East Anderson Lane,Austin,Texas,78752,,United States,4/28/2016,,,,,
Gary,Cold Account,North American Company for Life and Health Insurance,0013700000AUO6G,http://www.NorthAmericanCompany.com,,,,0,,Secondary,525 W. Van Buren,Chicago,Illinois,60607,,United States,3/23/2016,,,,,
Gary,Cold Account,Ohio National Financial Services,0013700000ATCEY,http://www.ohionational.com/,,,,0,,Secondary,1 Financial Way,Cincinnati,Ohio,45242,,United States,,,,,,
Gary,Cold Account,Oscar Insurance,0013700000ARuQm,www.hioscar.com,,,70000000,0,,Secondary,295 Lafayette Street,New York City,New York,10012,(855) 672-2788,United States,5/16/2017,,,,,
Gary,Cold Account,Pekin Insurance,0013700000AUO6W,http://www.pekininsurance.com/,,,,0,,Secondary,2505 Court St,Pekin,Illinois,61558,,United States,3/19/2019,,,,,
Gary,Cold Account,Penn Mutual,0013700000ATCEe,http://www.pennmutual.com/,,,250000000,0,,Secondary,600 Dresher Rd,Horsham,Pennsylvania,19044,1 (215) 956-8000,United States,07.05.2019,,,,,
John,Cold Account,Capitas Pacific Southwest Financial,0011S00000e4a5O,http://www.psfin.com/,,,,0,,Secondary,,,,,,United States,3/16/2020,,,,,
John,Cold Account,Dixon Wells,0011S00000e4a7p,https://www.dixonwells.com/,,,,0,,Secondary,,,,,,United States,3/16/2020,,,,,
Gary,Cold Account,RiverSource,0013700000ATCEZ,http://www.riversource.com/,,,,0,,Secondary,70100 Ameriprise Financial Center,Minneapolis,Minnesota,55474,,United States,3/31/2016,,,,,
John,Cold Account,Farm Bureau Insurance (MI),0011S00000k5knb,https://www.farmbureauinsurance-mi.com/,,,,0,,Secondary,,,,,,United States,3/16/2020,,,,,
Gary,Cold Account,Sammons Financial,0013700000AUO6b,https://www.sammonsfinancial.com/,,,,0,,Secondary,4350 Westown Parkway,West Des Moines,Iowa,50266,(515) 440-5500,United States,3/16/2020,,,,,
Gary,Cold Account,Samsung Life Insurance - South Korea,00137000009pHQ5,www.samsunglife.com,,,24500000000,0,,Secondary,"11, Seocho-daero 74-gil, Seocho-gu",Seoul,,6620,#ERROR!,United States,09.10.2020,,,,,
Gary,Cold Account,SBLI,0013700000ATCEm,http://www.sbli.com/,,,,0,,Secondary,One Linscott Road,Woburn,Massachusetts,1801,,United States,03.12.2019,,,,,
Gary,Cold Account,Standard Life Investments,0013700000AUO6H,http://www.standardlifeinvestments.com/,,,,0,,Secondary,1 George Street,Edinburgh,,EH2 2LL,,United States,04.01.2016,,,,,
Gary,Cold Account,Sun Life Financial,0013700000AUO6J,http://www.sunlife.com/,,,,0,,Secondary,One Sun Life Executive Park,Wellesley Hills,Massachusetts,2481,(617) 928-9562,United States,10/19/2020,,,,,
Gary,Cold Account,The General,0013700000ATCER,www.thegeneral.com,,,150000000,0,,Secondary,2636 Elm Hill Pike Suite 510,Nashville,Tennessee,37214,(866) 519-7422,United States,02.10.2017,,,,,
Gary,Cold Account,The Zillion Group,0013700000AUO6T,http://www.zillion.com/,,,,0,,Secondary,28 State Street 28Th Floor,Boston,Massachusetts,2109,,United States,,,,,,
Gary,Cold Account,Trustmark Companies,0013700000AUO6Z,http://www.trustmarkcompanies.com/,,,,0,,Secondary,400 Field Drive,Lake Forest,Illinois,60046,,United States,3/31/2016,,,,,
Gary,Cold Account,Washington National Insurance Company,0013700000AUO6Y,http://www.washingtonnational.com/,,,,0,,Secondary,11825 N. Pennsylvania Street,Carmel,Indiana,46032,,United States,3/31/2016,,,,,
John,Cold Account,Farmers New World Life,0011S00000e4a82,,,,,0,,Secondary,,,,,,United States,,,,,,
John,Cold Account,Fidelity Life Insurance,0011S00000jD3JC,fidelitylife.com,,,,0,,Secondary,,,,,,United States,12.05.2019,,,,,
John,Cold Account,Gen Re,0011S00000jD3JH,http://www.genre.com/,,,,0,,Secondary,,,,,,United States,,,,,,
John,Cold Account,Harford Mutual Insurance,0011S00000k2GmV,,,,,0,,Secondary,,,,,,United States,6/14/2019,,,,,
John,Cold Account,Investors Title Insurance Company,0011S00000jCijS,invtitle.com,,,,0,,Secondary,,,Kentucky,,,United States,9/23/2019,,,,,
John,Cold Account,Nassau Re,0011S00000jD3Jl,https://nsre.com/,,,,0,,Secondary,,,,,,United States,,,,,,
John,Cold Account,Next Insurance,0011S00000k2Gmn,,,,,0,,Secondary,,,,,,United States,6/14/2019,,,,,
John,Cold Account,Norfolk & Dedham,0011S000013CN7C,http://www.ndgroup.com/,,,,0,,Secondary,,,,,,United States,,,,,,
Jeff,Cold Account,NJM New Jersey Manufacturers Insurance Company,0013700000PYCZZ,https://www.njm.com/,1893777000,,,1,,Primary,,West Trenton,New Jersey,,(609) 883-1300,United States,2/13/2020,https://www.bloomberg.com/profile/company/12034Z:US,,,,
Jeff,Cold Account,PURE Insurance,0013700000PYCmK,https://www.pureinsurance.com/,,,,1,,Secondary,44 South Broadway Suite 301,White Plains,New York,10601,(973) 564-1477,United States,10.12.2020,,,,,
Jeff,Cold Account,Regard Insurance,0011S000013CB7a,https://regardinsurance.com/,,,,0,,Secondary,,New York,New York,,,United States,,,,,,
John,Cold Account,ACCC Insurance Company,0011S00000k2GmI,,,,,0,,Secondary,390 Benmar Dr.,Houston,Texas,77060,,United States,5/23/2019,,,,,
John,Cold Account,Advisor Insurance Solutions Center,0011S0000122IPZ,https://valic.advisorsolutionscenter.com/,,,,0,,Secondary,2727-A Allen Parkway PL2-3,Houston,Texas,77019,(713) 831-8416,United States,,,,,USA non-insurance or no prospects,Not verified
John,Cold Account,Al Rajhi Takaful,0011S000013BcNF,https://www.alrajhitakaful.com/en,,,,0,,Tertiary,Ath thumamah rd Alrabie Dist Al Rabie,Riyadh,,13316,#ERROR!,Saudi Arabia,08.06.2020,,,,Non-USA ,
John,Cold Account,Alleghany Insurance Holdings Group,0011S00000k5CaG,https://www.alleghany.com/,4481308000,,,0,,Primary,,New York,New York,,,United States,,https://www.bloomberg.com/profile/company/0129084D:US,,,USA non-insurance or no prospects,Financial Services
John,Cold Account,ALPS Property & Casualty Insurance Company,0011S00000k2Gm4,,,,,0,,Secondary,111 N. Higgins STE 600,Missoula,Montana,59802,,United States,6/14/2019,,,,,
John,Cold Account,American Association of Insurance Services,0011S00000k2Gm5,,,,,0,,Secondary,701 Warrenville Rd. Ste. 100,Lisle,Illinois,60532,,United States,07.05.2019,,,,,
John,Cold Account,American Business,0011S0000122IPa,https://americanbusiness.com/,,,,0,,Secondary,655 3rd Ave,New York,New York,New York,212.359.4400,United States,3/16/2020,,,,Insurance_test01_3_11_2020,
John,Cold Account,PFP,0011S00000jD3Ke,pfpservices.com,,,,0,,Secondary,,,,,,United States,10/25/2019,,,,,
John,Cold Account,Andover Companies,0011S000013CN77,https://www.andovercompanies.com/,,,,0,,Secondary,95 Old River Rd.,Andover,Massachusetts,1810,,United States,10/19/2020,,,,Insurance_test01_3_11_2020,
John,Cold Account,Arrowhead General Insurance Agency,0011S00000k2Gm9,,,,,0,,Secondary,701 B Street Suite 2100,San Diego,California,92101,,United States,6/17/2019,,,,,
John,Cold Account,Prosperity Life,0011S000013CN6s,https://www.prosperitylife.com/,,,,0,,Secondary,,,,,,United States,10/19/2020,,,,,
John,Cold Account,RBC Correspondent Services,0011S00000e4a6N,,,,,0,,Secondary,,,,,,United States,,,,,,
John,Cold Account,Auto & General Insurance Company Ltd,0011S000013Bcnq,https://www.autogeneral.com.au/,,,,0,,Tertiary,Level 13 Toowong Tower 9 Sherwood Road,Toowong,Queensland,4066,#ERROR!,Australia,8/19/2020,,,,Non-USA ,
John,Cold Account,Auto Club Group,0011S00000k5CYe,https://autoclubsouth.aaa.com/,2158733000,,,0,,Primary,,Dearborn,Michigan,,,United States,,,,,,
John,Cold Account,Axiom Connected,0011S0000122FxN,https://axiomconnected.com/,,,,0,,Tertiary,,London,,,(561) 400-1613,United Kingdom,08.03.2020,,,,Non-USA ,
John,Cold Account,Baltimore Life,0011S00000k2GmJ,,,,,0,,Secondary,P.O. Box 245,Ellerslie,Maryland,21117,,United States,07.05.2019,,,,,
John,Cold Account,BCS Financial,0011S00000k2Gm8,,,,,0,,Secondary,2 Mid America Plaza Suite 200,Oakbrook Terrace,Illinois,60056,,United States,5/29/2019,,,,,
John,Cold Account,Senior Life Insurance Company,0011S00000jD3Kt,http://senior-insurers.com/,,,,0,,Secondary,,,,,,United States,12.05.2019,,,,,
John,Cold Account,The IMT Group,0011S00000k2Gn8,,,,,0,,Secondary,,,,,,United States,5/29/2019,,,,,
John,Cold Account,Blanchard Insurance,0011S000013Bco0,https://www.blanchardinsurance.com/,,,,0,,Secondary,"999 Douglas Ave, Ste 3318",Altamonte Springs,Florida,32714,(407) 788-8640,United States,8/20/2020,,Property and Casualty (P & C),,cleaned,
John,Cold Account,BMI Financial Group,0011S0000122IPb,https://bmicos.com/,,,,0,,Secondary,"8950 SW 74th Ct, 24 Floor",Miami,Florida,33156,(305) 443-2898,United States,3/16/2020,,Life & Health,,Verified05,
John,Cold Account,"Tri-State Consumer Insurance Company,",0011S000013CN6e,https://www.tscinsurance.com/,,,,0,,Secondary,,,,,,United States,10/19/2020,,,,,
John,Cold Account,United American Insurance Company,0011S00000e4a6i,,,,,0,,Secondary,,,,,,United States,,,,,,
John,Cold Account,Catholic United Financial,0011S0000122IPd,https://www.catholicunitedfinancial.org/,,,,0,,Secondary,3499 Lexington Ave,St Paul,Minnesota,55126,(651) 490-0170 ext. 4117,United States,,,,,,
John,Cold Account,Central Insurance Cos,0011S00000k5CaL,https://www.central-insurance.com/,665603000,,,0,,Primary,,Van Wert,Ohio,,,United States,,https://www.bloomberg.com/profile/company/0628684D:US,,,,
John,Cold Account,China Reinsurance (Group) Corporation,0011S000013Bco5,http://chinare.com.cn/,,,,0,,Tertiary,"No.11 Jinrong Avenue, Xicheng District",Beijing,Beijing,100033,(8610?66576880,China,8/24/2020,,,,Non-USA ,
John,Cold Account,Christian Brothers Services,0011S00000k2GmK,,,,,0,,Secondary,1205 Windham Blvd,Romeoville,Iowa,60446,,United States,5/24/2019,,,,,
John,Cold Account,CIRSA,0011S00000k2GmL,,,,,0,,Secondary,3665 Cherry Creek North Drive,Denver,Colorado,80209,,United States,07.05.2019,,,,,
John,Cold Account,CNP Santander Insurance,0011S0000122Fxc,https://www.cnpsantander.com/,,,,0,,Tertiary,2nd Floor Three Park Place Hatch Street,Dublin,Dublin,2,,Ireland,,,,,Non-USA ,
John,Cold Account,"Coastal Insurance Consulting, LLC",0011S0000122IPe,https://coastalic.net/,,,,0,,Secondary,"110 Phoenixville Pike, Suite 200",Malvern,Pennsylvania,19355,(484) 300-1992,United States,9/24/2020,,,,,
John,Cold Account,Constellation Insurance,0011S000013BcoK,https://constellationmutual.com/,,,,0,,Secondary,"7701 France Avenue South, Suite 500",Minneapolis,Minnesota,55435,(800) 328-5532,United States,7/31/2020,,,,,
John,Cold Account,United Life,0011S00000jD3L8,https://www.unitedlife.com/,,,,0,,Secondary,,,,,,United States,11.01.2019,,,,,
John,Cold Account,Upstream Life Insurance Company,0011S00000jD3LD,http://upstreamlife.us/,,,,0,,Secondary,,,,,,United States,,,,,,
John,Cold Account,Donegal Group Inc.,0011S00000k5CZI,https://www.donegalgroup.com/,883942000,,,0,,Primary,,Marietta,Pennsylvania,,,United States,,https://finance.yahoo.com/quote/DGICA/,,,,
John,Cold Account,"Employers Holdings, Inc. (EIG)",0011S00000k5Ca6,https://www.employers.com/,723697000,,,0,,Primary,,Reno,Nevada,,,United States,,https://finance.yahoo.com/quote/EIG/,,,,
John,Cold Account,Fairfax Financial (USA) Group,0011S00000k5CYt,http://www.fairfaxinsurance.com/,5470328000,,,0,,Primary,,Santa Monica,California,,,United States,,,,,,
John,Cold Account,Falcon Insurance Group,0011S00000k2GmM,,,,,0,,Secondary,724 Enterprise Drive,Oak Brook,Illinois,60523,,United States,5/23/2019,,,,,
John,Cold Account,WildOpenWest Finance,0011S00000e4aNJ,wowway.com,,,,0,,Secondary,,,,,,United States,,,,,,
Jordan,Cold Account,Vermont Mutual Insurance Group,0011S000013CN69,http://vermontmutual.com,,,,0,,Secondary,,,,,,United States,10/18/2018,,,,,
John,Cold Account,"FCCI Insurance Group, Inc.",0011S00000k2GmP,fcci-group.com,799501000,,,0,,Primary,6300 University Pkwy,Sarasota,Florida,34240,,United States,07.05.2019,https://www.bloomberg.com/profile/company/0488630D:US,Property and Casualty (P & C),,Verified05,
John,Cold Account,Federated Mutual Insurance Company,0011S00000k5CZr,https://www.federatedinsurance.com/,1735154000,,,0,,Primary,,Owatonna,Minnesota,,,United States,,https://www.bloomberg.com/profile/company/11197Z:US,,,,
Karl,Cold Account,OUTsurance,0011S00000eHbQr,https://www.outsurance.com.na/,,,,0,,Secondary,,,,,,Namibia,11/20/2018,,,,Non-USA ,
John,Cold Account,Financial Independence Group,0011S0000122IPg,figmarketing.com,,,,0,,Secondary,"19520 West Catawba Ave, Suite 200",Cornelius,North Carolina,28031,(704) 895-5606,United States,3/16/2020,,,,,
John,Cold Account,FM Global Group,0011S00000k2GmQ,https://www.fmglobal.com,3423295000,,,0,,Primary,500 Exchange Street,Johnston,Rhode Island,2903,,United States,10/19/2020,,,,,
John,Cold Account,FMI,0011S00000k2GmS,,,,,0,,Secondary,5 Broad Street,Branchville,New Jersey,7826,,United States,6/13/2019,,,,,
John,Cold Account,Franklin Madison Group LLC,0011S000013BXv2,https://franklin-madison.com/,,,,0,,Secondary,801 Crescent Centre Drive Suite 500,Franklin,Tennessee,37067,,United States,08.04.2020,,,,,
John,Cold Account,Franklin Mutual,0011S00000k2GnD,,,,,0,,Secondary,5 Broad Street,Branchville,New Jersey,7826,,United States,5/24/2019,,,,,
